# Train        Test        
    0.902987     0.667970 
    0.572106     0.148750 
    0.194763     0.148445 
    0.198460     0.149018 
    0.200146     0.148856 
    0.206792     0.148058 
    0.207226     0.149173 
    0.206208     0.147988 
    0.198890     0.147990 
    0.203336     0.149171 
    0.204708     0.147596 
    0.201442     0.149198 
    0.200195     0.149817 
    0.207667     0.148132 
    0.204236     0.147728 
    0.202096     0.149097 
    0.202658     0.148221 
    0.196173     0.148453 
    0.202220     0.148744 
    0.208473     0.148741 
    0.193667     0.147906 
    0.199724     0.147320 
    0.199256     0.146983 
    0.196928     0.146851 
    0.199074     0.146722 
    0.205819     0.147918 
    0.202139     0.146965 
    0.195616     0.147609 
    0.203281     0.146335 
    0.208693     0.148176 
    0.206288     0.146716 
    0.207936     0.147025 
    0.198379     0.146185 
    0.203256     0.146695 
    0.205157     0.146993 
    0.198357     0.144721 
    0.202676     0.146490 
    0.196903     0.145953 
    0.201197     0.144547 
    0.199117     0.143483 
    0.205127     0.144828 
    0.202193     0.143350 
    0.195609     0.145637 
    0.203112     0.143778 
    0.191414     0.143018 
    0.198021     0.144043 
    0.192279     0.142284 
    0.200229     0.144065 
    0.193087     0.143577 
    0.197286     0.143524 
