# Train        Test        
    0.899303     0.915042 
    0.928571     0.928969 
    0.928920     0.934540 
    0.928571     0.933148 
    0.928571     0.934540 
    0.926132     0.934540 
    0.930314     0.935933 
    0.927875     0.934540 
    0.927526     0.935933 
    0.934843     0.934540 
    0.931010     0.934540 
    0.928920     0.933148 
    0.931707     0.931755 
    0.928571     0.935933 
    0.928920     0.933148 
    0.929268     0.935933 
    0.928920     0.934540 
    0.926132     0.933148 
    0.927526     0.935933 
    0.930314     0.933148 
    0.924739     0.934540 
    0.929617     0.935933 
    0.928571     0.934540 
    0.928223     0.934540 
    0.932753     0.933148 
    0.932056     0.935933 
    0.933798     0.933148 
    0.933798     0.937326 
    0.930662     0.935933 
    0.934843     0.933148 
    0.929268     0.934540 
    0.935192     0.934540 
    0.929617     0.935933 
    0.933101     0.935933 
    0.931010     0.933148 
    0.932404     0.934540 
    0.934146     0.937326 
    0.932404     0.933148 
    0.931359     0.934540 
    0.929965     0.933148 
    0.932056     0.934540 
    0.930314     0.934540 
    0.932056     0.934540 
    0.930662     0.935933 
    0.931707     0.931755 
    0.930662     0.937326 
    0.931010     0.937326 
    0.935192     0.938719 
    0.929965     0.935933 
    0.930314     0.934540 
